n,name,slug,profile,level,subjects,subject_slugs
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",perechen-1,финансовая грамотность,3,обществознание,ekonomika;obshchestvo
2,«Формула Единства»/«Третье тысячелетие»,perechen-2,математика,2,математика,matematika
3,"XVIII Южно-Российская межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, живопись, композиция, черчение)",perechen-3,"рисунок, живопись, композиция, черчение",1,искусствознание,iskusstvo
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,perechen-4,гуманитарные и социальные науки,1,"история, обществознание",istoriya;obshchestvo
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,perechen-4,экономика,1,экономика,ekonomika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,геномное редактирование,3,"биологические науки, промышленная экология и биотехнологии, техносферная безопасность и природообустройство, сельское, лесное и рыбное хозяйство, ветеринария и зоотехния",biologiya;inzheneriya
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,инфохимия,3,"информатика и вычислительная техника, химическая технология, химия",himiya;informatika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,"космические системы: анализ космических снимков и геопространственных данных, спутниковые системы",2,"информатика и вычислительная техника, электроника, радиотехника и системы связи, физико-технические науки и технологии, управление в технических системах, науки о земле, техносферная безопасность и природообустройство, фотоника, приборостроение, оптические и биотехнические системы и технологии, машиностроение",informatika;inzheneriya;fizika;nauki-o-zemle
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,"беспилотный транспорт: аэрокосмические системы, беспилотные авиационные системы, водные робототехнические системы, летающая робототехника",2,"информатика и вычислительная техника, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, авиационная и ракетно-космическая техника, аэронавигация и эксплуатация авиационной и ракетно-космической техники, управление в технических системах",inzheneriya;informatika;fizika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,нейротехнологии и когнитивные науки,3,"компьютерные и информационные науки, биологические науки, информатика и вычислительная техника",inzheneriya;informatika;biologiya
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,информационная безопасность,3,"компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность",informatika
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,"виртуальные миры: разработка компьютерных игр, технологии виртуальной реальности, технологии дополненной реальности, цифровые технологии в архитектуре",3,"компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, архитектура, культуроведение и социокультурные проекты, изобразительное и прикладные виды искусств",informatika;inzheneriya;iskusstvo
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,perechen-5,технологии беспроводной связи,3,"компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, электроника, радиотехника и системы связи, управление в технических системах",inzheneriya;informatika
