n,name,kind,stage,when,confirmed,checked_on,organizer_url
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",регистрация,,1 сентября 2026 — 22 января 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Регистрация,1 сентября 2026 — 22 января 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Первый (отборочный) заочный этап,олимпиадное состязание 1 сентября 2026 — 22 января 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Итоги отборочного этапа,25 января 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Второй (финальный) очный этап в регионах,6 марта 2027,да,2026-09-02,https://fin-olimp.ru/
1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",этап,Итоги заключительного этапа,9 марта — 5 апреля 2027,да,2026-09-02,https://fin-olimp.ru/
2,«Формула Единства»/«Третье тысячелетие»,этап,Отборочный (заочный) этап,15.10.25 — 05.11.25 (сезон 2025/26),нет,2026-09-02,https://www.formulo.org/ru/olymp/
2,«Формула Единства»/«Третье тысячелетие»,этап,Заключительный этап,"9 марта 2026, 10:00–14:00 по местному времени; регистрация на финал до 5 марта (сезон 2025/26)",нет,2026-09-02,https://www.formulo.org/ru/olymp/
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,этап,Олимпиада целиком,"проводится с 1 сентября по 1 апреля, два обязательных этапа (ежегодная рамка Положения, без года сезона)",нет,2026-09-02,https://vernadsky.info/info/olymp/terms/
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,этап,"Первый, отборочный заочный этап",до 1 марта текущего учебного года (ежегодная рамка),нет,2026-09-02,https://vernadsky.info/info/olymp/terms/
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,этап,Итоги отборочного этапа,до 10 марта (ежегодная рамка),нет,2026-09-02,https://vernadsky.info/info/olymp/terms/
4,Всероссийская академическая олимпиада школьников имени В.И. Вернадского,этап,"Второй, заключительный очный этап","Положение — с 1 февраля по 1 апреля, Регламент — с 1 марта по 1 апреля; документы организатора расходятся",нет,2026-09-02,https://vernadsky.info/info/olymp/terms/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,регистрация,,"запись открыта 26 августа — 22 октября 2026, окно одно на весь старший трек: отдельной записи на математические профили нет",да,2026-09-17,https://ntcontest.ru/participants/schedule/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,этап,"Регистрация старшего трека, 8–11 классы",26 августа — 22 октября 2026,да,2026-09-17,https://ntcontest.ru/participants/schedule/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,этап,"Этап I, индивидуальный отборочный",17 сентября — 23 октября 2026,да,2026-09-17,https://ntcontest.ru/participants/schedule/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,этап,"Этап II, командный отборочный","5 ноября — 7 декабря 2026 (ручная проверка), до 11 декабря (автоматическая)",да,2026-09-17,https://ntcontest.ru/participants/schedule/
5,Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»,этап,Заключительный этап (финал),"февраль — апрель 2027, дни организатор не называет",да,2026-09-17,https://ntcontest.ru/participants/schedule/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,регистрация,,"1 сентября — 15 октября 2026, единая запись на все профили",да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,Регистрация участников,1 сентября — 15 октября 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
6,Всероссийская олимпиада по агрогенетике для школьников старших классов «Иннагрика»,этап,"Подготовка к отборочному этапу, онлайн-курс",октябрь 2026,да,2026-09-02,https://innagrika.ru/olimpiada/
